Informe Completo;;;;;;;;;;;;;;;
Tipo : Acciones;;;;;;;;;;;;;;;
Pais: EEUU;;;;;;;;;;;;;;;
Fecha de creación : 28/1/2022;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Nombre;Ref.;Ingresos Totales;;;;;;;;Rentabilidad sobre fondos propios TTM;;Precio/Venta TTM;;Recomendación;URL
;;fecha;monto;fecha;monto;fecha;monto;fecha;monto;Empresa;Industria;Empresa;Industria;;
Merck KGaA ADR;MKKGY;2021- 30/09;4973;2021- 30/06;4870;2021- 31/03;4631;2020- 31/12;4598;8.01;14.81;1.29;7.06;-;https://es.investing.com/equities/merck-kgaa-pk
Anthem Inc;ANTM;2021- 31/12;36581;2021- 30/09;35822;2021- 30/06;33851;2021- 31/03;32385;3.56;undefined;0.76;1.67;-;https://es.investing.com/equities/wellpoint-inc
Deere & Company;DE;2021- 31/10;11327;2021- 01/08;11500;2021- 02/05;12058;2021- 31/01;9112;11.02;11.37;2.63;6.39;-;https://es.investing.com/equities/deere---co
Target Corporation;TGT;2021- 30/10;25652;2021- 31/07;25160;2021- 01/05;24197;2021- 30/01;28339;21.75;15.91;0.98;1.16;-;https://es.investing.com/equities/target
GlaxoSmithKline PLC ADR;GSK;2021- 30/09;9077;2021- 30/06;8092;2021- 31/03;7418;2020- 31/12;8739;9.78;12.42;2.54;7.9;-;https://es.investing.com/equities/glaxosmithklein-exch
Rio Tinto ADR;RIO;2021- 30/06;33083;2020- 31/12;25249;2020- 30/06;19362;2019- 31/12;22443;25.52;10.15;2.1;3.84;-;https://es.investing.com/equities/rio-tinto-plc-exch
Gazprom PAO ADR;OGZRY;2021- 30/09;2373164;2021- 30/06;2066807;2021- 31/03;2285161;2020- 31/12;2020341;9.39;7.12;0.87;2.39;-;https://es.investing.com/equities/gazprom-adr
3M Company;MMM;2021- 31/12;8612;2021- 30/09;8942;2021- 30/06;8950;2021- 31/03;8851;15.3;7.68;2.77;2.53;-;https://es.investing.com/equities/3m-co
Volkswagen AG 1/10 ADR;VWAGY;2018- 30/06;61149;2018- 31/03;58228;2017- 31/12;59818;2017- 30/09;55002;5.54;6.31;0.45;0.53;-;https://es.investing.com/equities/volkswagen-adr-be
Volkswagen AG Pref 1/10 ADR;VWAPY;2018- 30/06;61149;2018- 31/03;58228;2017- 31/12;59818;2017- 30/09;55002;5.54;6.28;0.45;0.55;-;https://es.investing.com/equities/volkswagen-ag-pk
Infosys Ltd ADR;INFY;2021- 31/12;318670;2021- 30/09;296020;2021- 30/06;278960;2021- 31/03;263110;27.6;16.17;6.08;24.25;Comprar;https://es.investing.com/equities/infosy-tech
General Electric Company;GE;2021- 30/09;18429;2021- 30/06;18280;2021- 31/03;17119;2020- 31/12;21929;-1.97;7.68;1.33;2.53;-;https://es.investing.com/equities/general-electric
Anheuser Busch Inbev NV ADR;BUD;2021- 30/09;14274;2021- 30/06;13539;2021- 31/03;12293;2020- 31/12;12767;10.52;undefined;2.14;4.76;-;https://es.investing.com/equities/anheuser-busch-exch
Nippon Telegraph and Telephone Corp ADR;NTTYY;2021- 30/09;2995077;2021- 30/06;2892570;2021- 31/03;3205960;2020- 31/12;3026642;7.38;6.56;0.97;3.51;-;https://es.investing.com/equities/nippon-telegraph
Snowflake Inc;SNOW;2021- 31/10;334.44;2021- 31/07;272.2;2021- 30/04;228.91;2021- 31/01;190.47;-14.4;16.17;71.77;24.25;Vender;https://es.investing.com/equities/snowflake-inc
Industria de Diseno Textil SA ADR;IDEXY;2021- 31/10;7389;2021- 31/07;6994;2021- 30/04;4942;2021- 31/01;6317;14.69;13.58;3.32;3.64;-;https://es.investing.com/equities/industria-de-diseno-textil
Airbnb Inc;ABNB;2021- 30/09;2237.43;2021- 30/06;1335.2;2021- 31/03;886.94;2020- 31/12;859.26;-75.56;-4.34;16.3;9.8;Vender;https://es.investing.com/equities/airbnb-inc
Automatic Data Processing Inc;ADP;2021- 31/12;4025.4;2021- 30/09;3832.3;2021- 30/06;3737;2021- 31/03;4102;27.21;16.17;5.27;24.25;-;https://es.investing.com/equities/auto-data-process
Kering SA;PPRUY;2021- 30/06;8047.2;2020- 31/12;7721.9;2020- 30/06;5378.3;2019- 31/12;8245.1;16.57;16.5;5.16;8.92;-;https://es.investing.com/equities/kering-sa
Lockheed Martin Corporation;LMT;2021- 31/12;17729;2021- 26/09;16028;2021- 27/06;17029;2021- 28/03;16258;17.15;3.09;1.58;12.02;-;https://es.investing.com/equities/lockheed-martin
Stryker Corporation;SYK;2021- 30/09;4160;2021- 30/06;4294;2021- 31/03;3953;2020- 31/12;4262;6.72;10.18;5.41;124.85;-;https://es.investing.com/equities/stryker
ConocoPhillips;COP;2021- 30/09;11326;2021- 30/06;9556;2021- 31/03;9826;2020- 31/12;5491;6.91;4.92;3.27;9.18;-;https://es.investing.com/equities/conoco-phillips
Lam Research Corp;LRCX;2021- 26/09;4304.47;2021- 27/06;4145.18;2021- 28/03;3847.65;2020- 27/12;3456.24;35.83;22.85;4.96;13.67;Comprar;https://es.investing.com/equities/lam-research-corp
Suncorp Group Ltd ADR;SNMCY;2021- 30/06;6835;2020- 31/12;7352;2020- 30/06;7716;2019- 31/12;7054;9.26;undefined;0.98;1.54;-;https://es.investing.com/equities/suncorp-group-ltd
CSL Ltd;CSLLY;2021- 30/06;4570.6;2020- 31/12;5739.4;2020- 30/06;4240.2;2019- 31/12;4910.6;16.65;13.05;8.24;162.94;-;https://es.investing.com/equities/csl-ltd
Micron Technology Inc;MU;2021- 02/12;7687;2021- 02/09;8274;2021- 03/06;7422;2021- 04/03;6236;14.28;22.85;2.98;13.67;-;https://es.investing.com/equities/micron-tech
Essilor International SA;ESLOY;2021- 30/06;8768;2020- 31/12;8199;2020- 30/06;6230;2019- 31/12;8614;3.09;16.36;4.38;8.7;-;https://es.investing.com/equities/essilor-international-sa
Mondelez International Inc;MDLZ;2021- 31/12;7658;2021- 30/09;7182;2021- 30/06;6642;2021- 31/03;7238;6.02;-6.91;3.28;3.04;-;https://es.investing.com/equities/mondelez-international-inc
Brookfield Asset Management Inc;BAM;2021- 30/09;19248;2021- 30/06;18286;2021- 31/03;16410;2020- 31/12;17088;5.17;21.42;1.15;9.26;-;https://es.investing.com/equities/brookfield-asset-management?cid=20219
Airbus Group NV;EADSY;2021- 30/09;10518;2021- 30/06;14177;2021- 31/03;10460;2020- 31/12;19751;7.25;6.96;1.64;1.93;-;https://es.investing.com/equities/airbus-group-nv
Canadian National Railway Co;CNI;2021- 30/09;3591;2021- 30/06;3598;2021- 31/03;3535;2020- 31/12;3656;11.51;5.45;7.35;6.5;-;https://es.investing.com/equities/canadian-national-railway
Gilead Sciences Inc;GILD;2021- 30/09;7421;2021- 30/06;6217;2021- 31/03;6423;2020- 31/12;7421;13.62;13.92;3.07;449.93;-;https://es.investing.com/equities/gilead-sciences-inc
Analog Devices Inc;ADI;2021- 30/10;2339.57;2021- 31/07;1758.85;2021- 01/05;1661.41;2021- 30/01;1558.46;3.99;22.85;11.11;13.67;-;https://es.investing.com/equities/analog-devices
Sherwin-Williams Co;SHW;2021- 30/09;5146.7;2021- 30/06;5379.8;2021- 31/03;4656;2020- 31/12;4488.8;12.12;7.1;3.72;3.71;-;https://es.investing.com/equities/sherwinwilliams
Booking Holdings Inc;BKNG;2021- 30/09;4676;2021- 30/06;2160;2021- 31/03;1141;2020- 31/12;1238;2.09;-4.34;10.51;9.8;-;https://es.investing.com/equities/priceline.com-inc
TJX Companies Inc;TJX;2021- 30/10;12531.89;2021- 31/07;12077.06;2021- 01/05;10086.66;2021- 30/01;10943.21;13.86;24.75;1.82;3.77;-;https://es.investing.com/equities/tjx-co-inc
Atlassian Corp Plc;TEAM;2021- 30/09;614.02;2021- 30/06;559.54;2021- 31/03;568.73;2020- 31/12;501.36;-53.72;13.95;30.25;29.76;-;https://es.investing.com/equities/atlassian-corp-plc
Altria Group;MO;2021- 30/09;6786;2021- 30/06;6936;2021- 31/03;6036;2020- 31/12;6304;22.67;undefined;3.42;undefined;-;https://es.investing.com/equities/altria-group
Deutsche Telekom AG ADR;DTEGY;2021- 30/09;26877;2021- 30/06;26593;2021- 31/03;26390;2020- 31/12;27622;4.06;6.54;0.76;3.78;-;https://es.investing.com/equities/deutsche-telekom-ag-pk
Crown Castle International Corp;CCI;2021- 30/09;1618;2021- 30/06;1583;2021- 31/03;1485;2020- 31/12;1493;3.14;3.89;11.7;13.15;-;https://es.investing.com/equities/crown-castle-int
Marsh & McLennan Companies Inc;MMC;2021- 31/12;5137;2021- 30/09;4583;2021- 30/06;5017;2021- 31/03;5083;11.74;8.96;3.75;1.79;Vender;https://es.investing.com/equities/marsh---mclennan
Daimler AG;DDAIF;2021- 30/09;31647;2021- 30/06;67006;2021- 31/03;41017;2020- 31/12;46621;6.71;5.71;0.52;3111.23;-;https://es.investing.com/equities/daimler?cid=51152
Daimler AG ADR;DMLRY;2021- 30/06;43482;2021- 31/03;41017;2020- 31/12;46621;2020- 30/09;40281;6.71;6.28;0.52;0.55;-;https://es.investing.com/equities/daimler-adr
Compagnie Financiere Richemont;CFRUY;2021- 30/09;8907;2021- 31/03;7666;2020- 30/09;5478;2020- 31/03;6841;8.88;7.63;3.99;3.55;-;https://es.investing.com/equities/compagnie-financiere-richemont
General Motors Company;GM;2021- 30/09;26779;2021- 30/06;34167;2021- 31/03;32474;2020- 31/12;37518;6.97;5.24;0.57;5548.08;-;https://es.investing.com/equities/gen-motors
Equinor ASA ADR;EQNR;2021- 30/09;23111;2021- 30/06;17380;2021- 31/03;16129;2020- 31/12;11875;2.7;4.92;1.35;9.18;-;https://es.investing.com/equities/statoil-asa
Chubb Ltd;CB;2021- 30/09;10845;2021- 30/06;9664;2021- 31/03;9971;2020- 31/12;9848;8.99;undefined;2.06;1.75;-;https://es.investing.com/equities/chubb-corp
Tokyo Electron Ltd PK;TOELY;2021- 30/09;480465;2021- 30/06;452049;2021- 31/03;439217;2020- 31/12;291725;29.7;22.7;5.07;9.32;-;https://es.investing.com/equities/tokyo-electron-ltd-pk
British American Tobacco PLC ADR;BTI;2021- 30/06;12175;2020- 31/12;13505;2020- 30/06;12271;2019- 31/12;13707;4.95;22.91;2.84;3.31;-;https://es.investing.com/equities/british-american-tobacco-plc-bats
SoftBank Group Corp;SFTBY;2021- 30/09;1504370;2021- 30/06;1479134;2021- 31/03;1490129;2020- 31/12;1507507;12.59;11.36;1.35;1.55;-;https://es.investing.com/equities/softbank-corp
Softbank Corp;SFTBF;2021- 30/09;1504370;2021- 30/06;1479134;2021- 31/03;1490129;2020- 31/12;1507507;12.59;6.4;1.5;1.62;-;https://es.investing.com/equities/softbank-corp.?cid=53036
CME Group Inc;CME;2021- 30/09;1109.9;2021- 30/06;1179.2;2021- 31/03;1253.3;2020- 31/12;1098.5;6.63;21.42;17.29;9.26;Vender;https://es.investing.com/equities/cme-group-inc.
Ford Motor Company;F;2021- 30/09;35683;2021- 30/06;26752;2021- 31/03;36228;2020- 31/12;35952;1.72;5.71;0.58;3111.23;-;https://es.investing.com/equities/ford-motor-co
CSX Corporation;CSX;2021- 30/09;3292;2021- 30/06;2990;2021- 31/03;2813;2020- 31/12;2825;9.94;5.45;5.94;6.5;-;https://es.investing.com/equities/csx-corp
Duke Energy Corporation;DUK;2021- 30/09;6951;2021- 30/06;5758;2021- 31/03;6150;2020- 31/12;5777;1.88;2.65;3.22;4.34;-;https://es.investing.com/equities/duke-energy
China Petroleum & Chemical Corp ADR;SNP;2021- 30/09;741638;2021- 30/06;1261712;2021- 31/03;576982;2020- 31/12;551367;7.72;5.2;0.19;10.12;-;https://es.investing.com/equities/sinopec-corp-ss
BP PLC ADR;BP;2021- 30/09;36174;2021- 30/06;36467;2021- 31/03;34544;2020- 31/12;25714;3.88;4.92;0.78;9.18;-;https://es.investing.com/equities/bp-plc
HCA Holdings Inc;HCA;2021- 31/12;15064;2021- 30/09;15276;2021- 30/06;14435;2021- 31/03;13977;20.53;3.56;1.21;1.67;-;https://es.investing.com/equities/hca-holdings-inc
Dassault Systemes SA;DASTY;2021- 30/09;1158.7;2021- 30/06;2333.7;2021- 31/03;1172.9;2020- 31/12;2248.9;6.76;13.95;12.02;29.76;-;https://es.investing.com/equities/dassault-systemes-sa
Illinois Tool Works Inc;ITW;2021- 30/09;3556;2021- 30/06;3676;2021- 31/03;3544;2020- 31/12;3475;21.89;11.38;5.08;7.21;-;https://es.investing.com/equities/illinois-tool-wk-r
Intercontinental Exchange Inc;ICE;2021- 30/09;2277;2021- 30/06;2134;2021- 31/03;2429;2020- 31/12;2233;7.99;21.42;7.6;9.26;-;https://es.investing.com/equities/intercontintlex
Block Inc;SQ;2021- 30/09;3844.73;2021- 30/06;4680.67;2021- 31/03;5057.27;2020- 31/12;3158.97;8.47;16.17;2.91;24.25;-;https://es.investing.com/equities/square-inc
ENEL Societa per Azioni;ENLAY;2021- 30/09;28961;2021- 30/06;28953;2021- 31/03;17107;2020- 31/12;30103;2.79;2.79;0.97;1.34;-;https://es.investing.com/equities/enel-societa-per-azioni
Enbridge Inc;ENB;2021- 30/09;11466;2021- 30/06;10948;2021- 31/03;12187;2020- 31/12;10008;4.25;5.2;2.38;10.12;-;https://es.investing.com/equities/enbridge-inc.
Great Wall Motor Company Ltd;GWLLY;2021- 30/09;28868.89;2021- 30/06;30811.39;2021- 31/03;31116.98;2020- 31/12;41164.15;10.47;5.6;2.28;5.56;-;https://es.investing.com/equities/great-wall-motor-company-ltd
Deutsche Post AG;DPSGY;2021- 30/09;20036;2021- 30/06;19473;2021- 31/03;18860;2020- 31/12;19116;13.55;13.56;0.85;0.89;-;https://es.investing.com/equities/deutsche-post-ag
ABB Ltd;ABB;2021- 30/09;7028;2021- 30/06;7449;2021- 31/03;6901;2020- 31/12;7182;8.51;6.87;2.53;7.58;-;https://es.investing.com/equities/abb-ltd-adr
Edwards Lifesciences Corp;EW;2021- 30/09;1310.2;2021- 30/06;1376;2021- 31/03;1216.6;2020- 31/12;1191.7;21.76;10.18;12.17;124.85;-;https://es.investing.com/equities/edward-lifescience
Equinix Inc;EQIX;2021- 30/09;1675.18;2021- 30/06;1657.92;2021- 31/03;1596.06;2020- 31/12;1564.12;1.76;3.86;9.47;12.69;-;https://es.investing.com/equities/equinix,-inc.
Hong Kong Exchange & Clearing;HKXCY;2021- 30/09;5110;2021- 30/06;4560;2021- 31/03;5490;2020- 31/12;4270;25.47;9.18;29.72;16.61;Vender;https://es.investing.com/equities/hong-kong-exchange---clearing
Moodys Corporation;MCO;2021- 30/09;1526;2021- 30/06;1553;2021- 31/03;1600;2020- 31/12;1290;19.83;22.04;10.15;9.29;-;https://es.investing.com/equities/moodys-corp
Becton Dickinson and Company;BDX;2021- 30/09;5135;2021- 30/06;4890;2021- 31/03;4907;2020- 31/12;5315;4.39;10.18;3.54;124.85;-;https://es.investing.com/equities/becton-dickinsn
Uber Technologies Inc;UBER;2021- 30/09;4845;2021- 30/06;3929;2021- 31/03;2903;2020- 31/12;2226;-9.67;5.45;4.76;6.5;-;https://es.investing.com/equities/uber-technologies-inc
Cigna Corp;CI;2021- 30/09;44356;2021- 30/06;43190;2021- 31/03;40972;2020- 31/12;41830;4.07;undefined;0.44;1.67;-;https://es.investing.com/equities/cigna-corp
Snap Inc;SNAP;2021- 30/09;1067.47;2021- 30/06;982.11;2021- 31/03;769.58;2020- 31/12;911.32;-11.87;24.77;12.21;8.4;-;https://es.investing.com/equities/snap-inc
Shin-Etsu Chemical Co Ltd ADR;SHECY;2021- 31/12;542362;2021- 30/09;507102;2021- 30/06;434239;2021- 31/03;406499;14.65;8.46;3.89;2.29;Vender;https://es.investing.com/equities/shin-etsu-chemical-co-ltd
Southern Company;SO;2021- 30/09;6238;2021- 30/06;5198;2021- 31/03;5910;2020- 31/12;5117;2.69;2.65;3.21;4.34;-;https://es.investing.com/equities/southern-co
Pinduoduo;PDD;2021- 30/09;21505.76;2021- 30/06;23046.22;2021- 31/03;22167.1;2020- 31/12;26547.71;-0.4;10.7;4.35;5.99;-;https://es.investing.com/equities/pinduoduo
Colgate-Palmolive Company;CL;2021- 30/09;4414;2021- 30/06;4260;2021- 31/03;4344;2020- 31/12;4324;26.16;16.93;4.02;4.31;-;https://es.investing.com/equities/colgate-palmo
Norfolk Southern Corporation;NSC;2021- 30/09;2852;2021- 30/06;2799;2021- 31/03;2639;2020- 31/12;2573;6.1;undefined;6.33;undefined;-;https://es.investing.com/equities/norfolk-southern
Marvell Technology Group Ltd;MRVL;2021- 30/10;1211.24;2021- 31/07;1075.88;2021- 01/05;832.28;2021- 30/01;797.82;-2.7;22.85;13.98;13.67;-;https://es.investing.com/equities/marvell-technology-group-ltd
Petroleo Brasileiro Petrobras SA ADR;PBR;2021- 30/09;121594;2021- 30/06;110710;2021- 31/03;86174;2020- 31/12;74972;16.47;4.92;1.18;9.18;Comprar;https://es.investing.com/equities/petroleo-bras
Petroleo Brasileiro ADR Reptg 2 Pref;PBRa;2021- 30/09;121594;2021- 30/06;110710;2021- 31/03;86174;2020- 31/12;74972;16.47;4.92;1.18;9.18;Comprar;https://es.investing.com/equities/petroleo-brasileiro-a
Nidec Corporation;NJDCY;2021- 31/12;496542;2021- 30/09;463198;2021- 30/06;447470;2021- 31/03;433073;9.16;6.87;3.33;7.58;Comprar;https://es.investing.com/equities/nidec-corporation-exch
Axa SA ADR;AXAHY;2021- 30/06;61171;2020- 31/12;60876;2020- 30/06;52469;2019- 31/12;59229;8.96;undefined;0.56;1.79;-;https://es.investing.com/equities/axa-pk
Waste Management Inc;WM;2021- 30/09;4665;2021- 30/06;4476;2021- 31/03;4112;2020- 31/12;4067;7.49;10.78;3.53;4.99;-;https://es.investing.com/equities/waste-managemnt
Prudential PLC Cap Sec;PUK_p;2021- 30/06;11692;2020- 31/12;62037;2020- 30/06;-6064;2019- 31/12;41197;-0.61;undefined;0.63;1.05;-;https://es.investing.com/equities/prudential-plc-cap-sec
Prudential Public Limited Company;PUK;2021- 30/06;11692;2020- 31/12;62037;2020- 30/06;-6064;2019- 31/12;41197;8.99;undefined;0.63;1.75;-;https://es.investing.com/equities/prudential-public-ltd-comp
Fiserv Inc;FISV;2021- 30/09;4163;2021- 30/06;4051;2021- 31/03;3755;2020- 31/12;3832;2.23;16.17;4.19;24.25;-;https://es.investing.com/equities/fiserv-inc
Vale SA ADR;VALE;2021- 30/09;66260.71;2021- 30/06;87846.82;2021- 31/03;69301.18;2020- 31/12;78938.25;24.36;10.15;1.43;3.84;-;https://es.investing.com/equities/vale-s.a.--americ
Canadian Pacific Railway Ltd;CP;2018- 30/09;1898;2018- 30/06;1750;2018- 31/03;1662;2017- 31/12;1713;6.63;12.3;7.87;7.24;-;https://es.investing.com/equities/canadian-pacific
Atlas Copco ADR;ATLCY;2021- 31/12;29533;2021- 30/09;27824;2021- 30/06;27534;2021- 31/03;26021;20.44;15.64;5.59;6.22;-;https://es.investing.com/equities/atlas-copco
Atlas Copco AB;ATLKY;2021- 31/12;29533;2021- 30/09;27824;2021- 30/06;27534;2021- 31/03;26021;20.44;15.64;5.59;6.22;-;https://es.investing.com/equities/atlas-copco-ab
BioNTech SE;BNTX;2021- 30/09;6087.3;2021- 30/06;5308.5;2021- 31/03;2048.4;2020- 31/12;345.44;142.58;11.19;2.44;406.43;Comprar;https://es.investing.com/equities/biontech-se
Iberdrola SA;IBDRY;2021- 30/06;8663.6;2021- 31/03;10088.4;2020- 31/12;8897;2020- 30/09;7780.6;4.06;4.63;1.79;1.84;-;https://es.investing.com/equities/iberdrola-sa
Workday Inc;WDAY;2021- 31/10;1327.26;2021- 31/07;1260.36;2021- 30/04;1175.03;2021- 31/01;1131.68;0.66;13.48;11.55;30.35;-;https://es.investing.com/equities/workday-inc
Daikin Industries Ltd ADR;DKILY;2021- 30/09;759888;2021- 30/06;798975;2021- 31/03;651655;2020- 31/12;612482;9.38;8.73;2.4;1.99;-;https://es.investing.com/equities/daikin-industries-ltd
KDDI Corp PK;KDDIY;2021- 30/09;1324896;2021- 30/06;1300264;2021- 31/03;1388824;2020- 31/12;1386579;10.73;11.36;1.52;1.55;-;https://es.investing.com/equities/kddi-corp-pk
Eaton Corporation PLC;ETN;2021- 30/09;4923;2021- 30/06;5215;2021- 31/03;4692;2020- 31/12;4687;7.77;6.87;3.17;7.58;-;https://es.investing.com/equities/eaton
Air Products and Chemicals Inc;APD;2021- 30/09;2841.1;2021- 30/06;2604.7;2021- 31/03;2502;2020- 31/12;2375.2;8.91;7.1;5.92;3.71;Vender;https://es.investing.com/equities/air-prods---chem
Regeneron Pharmaceuticals Inc;REGN;2021- 30/09;3452.8;2021- 30/06;5138.5;2021- 31/03;2528.7;2020- 31/12;2422.9;41.51;13.92;4.83;449.93;-;https://es.investing.com/equities/regeneron-phar.
Fidelity National Information Services Inc;FIS;2021- 30/09;3507;2021- 30/06;3475;2021- 31/03;3223;2020- 31/12;3316;0.33;16.17;4.92;24.25;-;https://es.investing.com/equities/fidelity-natl-in
Ecolab Inc;ECL;2021- 30/09;3320.8;2021- 30/06;3162.7;2021- 31/03;2885;2020- 31/12;3065.3;7.63;6.82;4.23;3.65;-;https://es.investing.com/equities/ecolab-inc
Aon PLC;AON;2021- 30/09;2702;2021- 30/06;2886;2021- 31/03;3525;2020- 31/12;2965;6.77;8.96;4.78;1.79;Vender;https://es.investing.com/equities/aon-corp
Wal Mart de Mexico SAB de CV ADR;WMMVY;2021- 30/09;176041.81;2021- 30/06;174673.98;2021- 31/03;170756.8;2020- 31/12;195988.32;17.95;8.88;1.7;0.79;Vender;https://es.investing.com/equities/wal-mart-de-mexico
NetEase Inc;NTES;2021- 30/09;22190.75;2021- 30/06;20524.5;2021- 31/03;20517.21;2020- 31/12;19761.74;14.21;-0.63;4.86;18.4;Comprar;https://es.investing.com/equities/netease.com
Glencore PLC ADR;GLNCY;2021- 30/06;93805;2020- 31/12;71377;2020- 30/06;70961;2019- 31/12;108013;1.93;21.97;0.43;215.15;-;https://es.investing.com/equities/glencore-plc
Public Storage;PSA;2021- 30/09;894.93;2021- 30/06;829.32;2021- 31/03;767.26;2020- 31/12;759.04;13.14;3.89;18.68;13.15;-;https://es.investing.com/equities/public-stg-mld
Public Storage;PSA_pe;2021- 30/09;894.93;2021- 30/06;829.32;2021- 31/03;767.26;2020- 31/12;759.04;13.14;3.86;18.68;12.69;-;https://es.investing.com/equities/public-storage
Public Storage ADR;PSA_pf;2021- 30/09;894.93;2021- 30/06;829.32;2021- 31/03;767.26;2020- 31/12;759.04;13.14;3.89;18.68;13.15;-;https://es.investing.com/equities/public-storage-adr
Public Storage ADR;PSA_pg;2021- 30/09;894.93;2021- 30/06;829.32;2021- 31/03;767.26;2020- 31/12;759.04;13.14;3.86;18.68;12.69;-;https://es.investing.com/equities/public-storage-pg-adr
Dominion Energy Inc;D;2021- 30/09;3176;2021- 30/06;3038;2021- 31/03;3870;2020- 31/12;3521;3.11;2.84;4.66;2.62;Vender;https://es.investing.com/equities/dominion-res
FedEx Corporation;FDX;2021- 30/11;23474;2021- 31/08;22003;2021- 31/05;22565;2021- 28/02;21510;6.65;13.33;0.72;1.89;-;https://es.investing.com/equities/fedex-corp
Zurich Insurance Group Ltd;ZURVY;2021- 30/06;32952;2020- 31/12;34485;2020- 30/06;20737;2019- 31/12;30791;8.96;undefined;1.07;1.79;-;https://es.investing.com/equities/zurich-insurance-group-ltd
America Movil SAB de CV ADR;AMX;2021- 30/09;253374.88;2021- 30/06;252507.32;2021- 31/03;248185.64;2020- 31/12;255029.45;10.06;6.4;1.22;1.62;-;https://es.investing.com/equities/america-movil
America Movil SAB de CV ADR Class A;AMOV;2021- 30/09;253374.88;2021- 30/06;252507.32;2021- 31/03;248185.64;2020- 31/12;255029.45;10.06;6.3;1.22;1.65;-;https://es.investing.com/equities/america-movil-sab-de-cv
Denso Corp ADR;DNZOY;2021- 30/09;1226074;2021- 30/06;1356866;2021- 31/03;1428130;2020- 31/12;1433873;7.13;7.31;1.18;0.89;-;https://es.investing.com/equities/denso-corp
Heineken NV;HEINY;2021- 30/06;10010;2020- 31/12;10472;2020- 30/06;9243;2019- 31/12;12526;4.27;10.59;2.77;4.6;-;https://es.investing.com/equities/heineken-nv
Pernod Ricard SA PK;PDRDY;2021- 30/06;3839;2020- 31/12;4985;2020- 30/06;2974;2019- 31/12;5474;4.86;5.78;5.76;6.6;-;https://es.investing.com/equities/pernod-ricard-sa-pk
Fast Retailing Co Ltd ADR;FRCOY;2021- 30/11;627391;2021- 31/08;434910;2021- 31/05;495218;2021- 28/02;583066;10.66;9.02;3.26;2.52;-;https://es.investing.com/equities/fast-retailing-co-ltd
Lonza Group AG;LZAGY;2021- 31/12;2867;2021- 30/06;2542;2020- 31/12;1434;2020- 30/06;2243;5.36;7.87;8.45;8.18;-;https://es.investing.com/equities/lonza-group-ag
KKR & Co LP;KKR;2021- 30/09;4648.09;2021- 30/06;3258.47;2021- 31/03;4598.4;2020- 31/12;2118.83;13.32;22.04;3.88;9.29;-;https://es.investing.com/equities/kkr---co-lp
Relx PLC ADR;RELX;2021- 30/06;3394;2020- 31/12;3609;2020- 30/06;3501;2019- 31/12;3986;13.41;7.52;6.23;7.24;-;https://es.investing.com/equities/reed-elsevier-plc
Naspers Ltd ADR;NPSNY;2021- 30/09;3575;2021- 31/03;3437;2020- 30/09;2497;2020- 31/03;2271;60.8;10.7;9.92;5.99;Vender;https://es.investing.com/equities/naspers-ltd-pk
Progressive Corp;PGR;2021- 30/09;11852.6;2021- 30/06;11899.2;2021- 31/03;11439.6;2020- 31/12;11410.3;8.96;undefined;1.32;1.79;-;https://es.investing.com/equities/the-progressive
KLA-Tencor Corporation;KLAC;2021- 31/12;2352.63;2021- 30/09;2083.84;2021- 30/06;1925.47;2021- 31/03;1803.77;35.79;22.85;6.72;13.67;Comprar;https://es.investing.com/equities/kla-tencor-corp
Northrop Grumman Corporation;NOC;2021- 31/12;8639;2021- 30/09;8720;2021- 30/06;9151;2021- 31/03;9157;20.62;3.17;1.66;10.52;-;https://es.investing.com/equities/northrop-grumman
NK Lukoil PAO ADR;LUKOY;2021- 30/09;2588745;2021- 30/06;2201884;2021- 31/03;1876483;2020- 31/12;1530339;10.71;4.92;0.56;9.18;Comprar;https://es.investing.com/equities/nk-lukoil-oao?cid=942025
MercadoLibre Inc;MELI;2021- 30/09;1857.45;2021- 30/06;1702.75;2021- 31/03;1378.44;2020- 31/12;1327.3;3.01;10.7;7.99;5.99;-;https://es.investing.com/equities/mercadolibre
